amount,name,unit
1,onion,whole
3,garlic cloves,whole
2,Cajun seasoning,tablespoons
1,diced tomatoes,14.5 oz can
1,red bell pepper,whole
2,zucchinis,whole
2,cooked lentils,cups
2,potatoes,whole
0.5,almond milk,cups
