amount,name,unit
2,chickpeas,15 oz can
0.5,frank's buffalo sauce,cups
8,bread,slices
6,plain vegan yogurt,ounces
0.5,garlic powder,teaspoons
0.5,onion powder,teaspoons
0.25,fresh dill,teaspoons
0.25,Dijon Mustard,cups
14,coleslaw,ounces
