amount,name,unit
2,chickpeas,15 oz can
1,chili powder,tablespoons
1,garlic powder,teaspoons
1,onion powder,teaspoons
0.5,paprika,teaspoons 
0.5,italian seasoning,teaspoons
0.25,cayenne pepper,teaspoons
8,corn tortillas,whole
2,cabbage,cups
1,red bell pepper,whole
0.5,red onion,whole
2,peaches,cups
2,lime juice,teaspoons
