amount,name,unit
4,carrots,whole
0.25,soy sauce,cups
1,rice wine vinegar,tbsp
1,apple cider vinegar,tbsp
1,sesame oil,tbsp
1,liquid smoke,ounce
0.5,garlic powder,teaspoons
0.5,ginger powder,teaspoons
0.5,black pepper,teaspoons
0.25,onion powder,teaspoons
4,hot dog buns,whole
