amount,name,unit
1,diced tomatoes,14.5 oz can 
1,onion,whole
2,celery ribs,whole
3,garlic cloves,whole
1,bell pepper,whole
2,Cajun seasoning,tablespoons
15,kidney beans,oz can
1,cornmeal,cups
1.5,baking powder,teaspoons
0.75,almond milk,cups
0.25,applesauce,cups 
