amount,name,unit
2,sweet potatoes,whole
1,smoked paprika,teaspoons
1,small red onion,whole
2,green bell peppers,whole
2,garlic cloves,whole
2,black eye peas,15 oz can
1,cummin,teaspoons
1,paprika,teaspoons
8,corn tortillas,whole
0.25,salsa,cups
