amount,name,unit
4,green bell pepper,whole
2,onion,whole
2,cornstarch,tablespoons 
2,chili powder,tablespoons
2,paprika,teaspoons
0.5,onion powder,teaspoons
0.5,garlic powder,teaspoons
0.5,ground cumin,teaspoons
4,whole wheat tortillas,whole
1,vegetarian refried beans,15 oz can
